CODIGO_REGIONAL;NOMBRE_REGIONAL;CODIGO_CENTRO;NOMBRE_CENTRO;FICHA;PROGRAMA;VERSION_PROGRAMA;TIPO_FORMACION;RESPUESTA;FECHA_INICIO;FECHA_FIN;ESTADO_FICHA;APRENDICES_ACTIVOS;PROGRAMADA;CODIGO_PROGRAMA_ESPECIAL;PROGRAMA_ESPECIAL;CODIGO_CONVENIO;AMPLIACION_DE_COBERTURA;CONVENIO;EMPRESA_TIPO_DOCUMENTO;EMPRESA_NUMERO_DOCUMENTO;EMPRESA;TIPO_FICHA;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965626;BÁSICO EN OPERACIÓN Y MANTENIMIENTO DE MAQUINARIA PESADA (RETROCARGADOR);2;A LA MEDIDA;CURSO ESPECIAL;2024-04-22 00:00:00.0;2024-04-25 00:00:00.0;Terminada;28;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;800095983;ALCALDIA MUNICIPAL DE ROSAS;OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2911059;DECORACION EN GLOBOS;1;A LA MEDIDA;CURSO ESPECIAL;2024-02-14 00:00:00.0;2024-02-26 00:00:00.0;Terminada;30;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;8915015795;RED UNIDOS;OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2911669;DECORACION EN GLOBOS;1;A LA MEDIDA;CURSO ESPECIAL;2024-02-15 00:00:00.0;2024-03-06 00:00:00.0;Terminada;16;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2919161;DECORACION EN GLOBOS;1;A LA MEDIDA;CURSO ESPECIAL;2024-02-22 00:00:00.0;2024-03-01 00:00:00.0;Terminada;16;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;8915015795;RED UNIDOS;OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2919170;DECORACION EN GLOBOS;1;A LA MEDIDA;CURSO ESPECIAL;2024-02-28 00:00:00.0;2024-03-13 00:00:00.0;Terminada;18;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;8915015795;RED UNIDOS;OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2933475;DECORACION EN GLOBOS;1;A LA MEDIDA;CURSO ESPECIAL;2024-03-04 00:00:00.0;2024-03-31 00:00:00.0;Terminada;13;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2937942;DECORACION EN GLOBOS;1;A LA MEDIDA;CURSO ESPECIAL;2024-03-07 00:00:00.0;2024-03-26 00:00:00.0;Terminada;16;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2954477;DECORACION EN GLOBOS;1;A LA MEDIDA;CURSO ESPECIAL;2024-04-03 00:00:00.0;2024-04-27 00:00:00.0;Terminada por fecha;22;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2955764;DECORACION EN GLOBOS;1;A LA MEDIDA;CURSO ESPECIAL;2024-04-01 00:00:00.0;2024-04-05 00:00:00.0;Terminada;11;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;8915015795;RED UNIDOS;OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2960617;DECORACION EN GLOBOS;1;A LA MEDIDA;CURSO ESPECIAL;2024-04-13 00:00:00.0;2024-04-18 00:00:00.0;Terminada por fecha;21;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;8915015795;RED UNIDOS;OTRO;
